Plant_Code	Vendor_Code	Vendor_Name	Vendor_Address	Active_Status
1300	130397	NATIONAL ENGINEERS	AMBATTUR, CHENNAI	TRUE
1150	130397	NATIONAL ENGINEERS	AMBATTUR, CHENNAI	TRUE
1300	130417	ABHISHEK COMMUNICATION AND	GURGAON	TRUE
1210	130418	SUJAY INDUSTRIES	BANGALORE	TRUE
1200	130420	SNT ENTERPRISES	MYSURU	TRUE
1210	130421	EAGLE ELECTRICALS	MANGALURU	TRUE
1200	130421	EAGLE ELECTRICALS	MANGALURU	TRUE
1250	130422	SHRI BALAJI ENTERPRISES	RUDRAPUR	TRUE
1250	130423	RASMAN TECHNOLOGIES PRIVATE	RUDRAPUR, UDHAM SINGH NAGAR	TRUE
1300	130425	S.L. AUTO COMPONENTS	CHENNAI	TRUE
1210	130427	BALU AUTO COMPONENTS P LTD	CHENNAI	TRUE
1300	130510	NITHYA PACKAGING PRIVATE LIMITED	VILLIANUR	TRUE
1200	130511	MARUTHI ENTERPRISES	MYSORE	TRUE
1210	130511	MARUTHI ENTERPRISES	MYSORE	TRUE
1200	130512	S R ENTERPRISES	MANDYA	TRUE
1210	130512	S R ENTERPRISES	MANDYA	TRUE
1300	130516	UNIQUE HITECH ENGINEERINGS	COIMBATORE	TRUE
1300	130517	OM SAKTHI CRANE SERVICE	PUDUCHERRY	TRUE
1300	130522	ST JAMES COURT BEACH RESORT	CHINNA KALAPET	TRUE
1300	130523	BRIGHT ELECTRO PROCESS	CHENNAI	TRUE
1150	130523	BRIGHT ELECTRO PROCESS	CHENNAI	TRUE
1200	130650	SLN TESTING LABORATORY	BANGALORE	TRUE
1210	130650	SLN TESTING LABORATORY	BANGALORE	TRUE
1300	130652	KALLA RAVI TEJA	PONDICHERRY	TRUE
1250	130653	PANKAJ JOSHI	RUDRAPUR US NAGAR	TRUE
1250	130654	VASKOM ENTERPRISE	RUDRAPUR	TRUE
1300	130659	JAYA SURIYA STATIONERY	PONDICHERRY	TRUE
1300	130660	J.ORR ASSOCIATES	PUDUCHERRY	TRUE
1250	130661	ATOP FASTENERS PVT LIMITED	CHANDIGARH	TRUE
1300	130662	SUNTECH MACHINE TOOLS	KORATTUR, CHENNAI	TRUE
1150	130664	OMNI-X BENDING PRIVATE LIMITED	BANGALORE	TRUE
1300	130665	OETIKER INDIA PVT LTD	TIRUVALLUR	TRUE
1150	130665	OETIKER INDIA PVT LTD	TIRUVALLUR	TRUE
1300	130790	VENUS ENTERPRISES	GURGAON	TRUE
1250	130809	ARIHANT ANALYTICAL	SONIPAT	TRUE
1300	130864	FINE TECH TECHNOLOGIES	PUDUCHERRY	TRUE
1150	130901	EVA TRADERS	CHENNAI	TRUE
1210	130902	SUMAKAM AUTOMATION	CHENNAI	TRUE
1200	130902	SUMAKAM AUTOMATION	CHENNAI	TRUE
1200	130905	GK WATER PLUS	MYSORE	TRUE
1300	130906	INNOVATIVE SOLUTION	CHENNAI	TRUE
1210	130907	MAHALAKSHMI LOGISTICS PVT. LTD	BANGALORE	TRUE
1200	130907	MAHALAKSHMI LOGISTICS PVT. LTD	BANGALORE	TRUE
1150	130917	GOWRI.V	KANCHEEPURAM	TRUE
1150	130922	MAHA ENGINEERING	CHENNAI	TRUE
1150	130932	FREYER INTERNATIONAL LOGISTICS	TAGA TOWERES, SAIT COLONY	TRUE
